mean,median,max,truth,mean_cute,x1,y1,x2,y2,width,height
6.368185997009277,3.5666565895080566,17.573793411254883,3.450000047683716,5.791035175323486,894,204,1241,374,347,170
10.93582534790039,9.311824798583984,27.130290985107422,10.029999732971191,10.097831726074219,219,193,443,319,224,126
21.48594093322754,18.80731201171875,43.10026931762695,18.209999084472656,20.050769805908203,424,173,507,241,83,68
21.877700805664062,18.79549789428711,70.91241455078125,18.6299991607666,20.279579162597656,666,181,761,248,95,67
28.758758544921875,26.982181549072266,54.589481353759766,27.270000457763672,27.4443416595459,488,175,543,217,55,42
28.194002151489258,27.3238525390625,70.91241455078125,27.6200008392334,26.37697982788086,653,183,707,222,54,39
36.578575134277344,36.564449310302734,69.80432891845703,38.709999084472656,35.165000915527344,524,177,559,205,35,28
32.28740310668945,24.224979400634766,81.81849670410156,24.770000457763672,28.59149742126465,587,182,640,226,53,44
11.554451942443848,11.025510787963867,32.02848434448242,12.130000114440918,11.152690887451172,226,183,414,284,188,101
14.391512870788574,12.711153030395508,24.506446838378906,22.399999618530273,13.756608009338379,387,186,518,236,131,50
37.155181884765625,30.618730545043945,81.27806854248047,46.5099983215332,34.48172378540039,510,173,569,202,59,29
39.70392990112305,24.836585998535156,90.93584442138672,37.41999816894531,36.0068359375,591,179,625,210,34,31
12.139713287353516,11.58395004272461,22.535545349121094,17.049999237060547,11.888230323791504,0,187,86,244,86,57
10.35906982421875,10.321954727172852,27.099369049072266,11.420000076293945,9.936738967895508,0,182,213,298,213,116
13.261115074157715,11.191377639770508,36.85884094238281,17.510000228881836,11.830135345458984,180,177,318,247,138,70
7.619069576263428,7.217345714569092,21.010297775268555,1.559999942779541,6.597397804260254,0,168,177,374,177,206
9.294076919555664,7.269954204559326,76.72989654541016,9.229999542236328,7.861055850982666,227,196,469,343,242,147
28.954816818237305,25.691532135009766,55.945011138916016,26.15999984741211,27.184524536132812,631,185,687,230,56,45
15.230265617370605,12.135831832885742,34.48625183105469,13.390000343322754,13.977386474609375,307,191,473,287,166,96
13.918943405151367,11.834735870361328,27.262805938720703,12.720000267028809,13.501654624938965,102,199,314,302,212,103
32.7896842956543,29.31863021850586,59.76329040527344,34.29999923706055,31.20928955078125,637,178,679,213,42,35
18.763174057006836,18.41986846923828,37.858463287353516,21.59000015258789,17.63718605041504,430,188,508,241,78,53
24.718717575073242,26.129276275634766,64.85230255126953,27.229999542236328,24.54546356201172,749,163,886,205,137,42
