,true_depths,predicted_depths
0,30.549999237060547,25.6209659576416
1,3.0399999618530273,2.0723280906677246
2,49.20000076293945,40.05010986328125
3,6.349999904632568,4.644404411315918
4,40.31999969482422,35.18240737915039
5,5.170000076293945,3.8748795986175537
6,31.8700008392334,27.825063705444336
7,46.79999923706055,40.239295959472656
8,18.1299991607666,18.452594757080078
9,4.429999828338623,2.0424132347106934
10,30.579999923706055,27.90997314453125
11,23.420000076293945,21.679248809814453
12,70.86000061035156,69.7149887084961
13,1.3600000143051147,2.1210625171661377
14,11.890000343322754,10.594378471374512
15,27.219999313354492,22.40062713623047
16,13.220000267028809,11.5403413772583
17,40.86000061035156,36.57707595825195
18,10.819999694824219,9.174110412597656
19,26.65999984741211,22.38976287841797
20,64.98999786376953,63.64170455932617
21,63.34000015258789,60.25491714477539
22,12.710000038146973,11.113838195800781
23,55.15999984741211,51.363677978515625
24,70.68000030517578,66.21060943603516
25,38.810001373291016,35.545291900634766
26,3.690000057220459,2.160297393798828
27,10.380000114440918,9.505681037902832
28,71.87999725341797,59.02907943725586
29,56.650001525878906,56.92938995361328
30,49.400001525878906,38.00700759887695
31,17.010000228881836,14.703421592712402
32,35.599998474121094,30.02574920654297
33,33.470001220703125,34.194149017333984
34,38.52000045776367,39.85921859741211
35,40.9900016784668,36.20543670654297
36,27.25,26.997461318969727
37,23.959999084472656,21.626136779785156
38,49.130001068115234,46.65791702270508
39,17.899999618530273,15.26082706451416
40,43.72999954223633,40.47761917114258
41,52.470001220703125,50.27286911010742
42,47.130001068115234,48.4366569519043
43,19.030000686645508,16.568004608154297
44,7.010000228881836,4.914036273956299
45,19.079999923706055,16.902263641357422
46,31.549999237060547,40.8347282409668
47,31.8700008392334,27.49772071838379
48,34.209999084472656,30.007030487060547
49,19.739999771118164,15.17149829864502
50,35.83000183105469,32.00490951538086
51,14.649999618530273,12.849113464355469
52,28.229999542236328,25.01333999633789
53,36.5099983215332,31.69134521484375
